257,0,3,Naamah,Naamah
258,0,2,Naaman,Naaman
259,0,2,Nabal,Nabal
260,0,3,Naboth,Naboth
261,0,3,Nadab Son of Aaron,Nadab
262,0,3,"Nadab, King of Israel",Nadab
263,0,3,Nahor,Nahor
264,0,3,Nahum,Nahum
265,0,2,Naomi,Naomi
266,0,3,Nathan,Nathan
267,0,2,Nebuchadnezzar,Nebuchadnezzar
268,0,3,Nebuzaradan,Nebuzaradan
269,0,3,Neco,Neco
270,0,2,Nehemiah,Nehemiah
271,1,1,Nicodemus,Nicodemus
272,1,3,Nicolaus,Nicolaus
273,0,2,Nimrod,Nimrod
274,0,1,Noah,Noah
275,0,3,Obadiah,Obadiah
276,0,3,Obed-Edom,Obed-Edom
277,0,3,Oded,Oded
278,0,3,Og,Og
279,0,3,Oholiab,Oholiab
280,0,3,Oholibamah,Oholibamah
281,0,3,Omri,Omri
282,0,3,Onan,Onan
283,1,2,Onesimus,Onesimus
284,0,3,Orpah,Orpah
285,0,3,Othniel,Othniel
286,0,3,Palti,Palti
287,0,3,Pashhur,Pashhur
288,1,1,Paul,Paul
289,0,3,Pekah,Pekah
290,0,3,Pekahiah,Pekahiah
291,0,3,Peleg,Peleg
292,0,3,Peninnah,Peninnah
293,0,3,Perez,Perez
294,1,1,Peter,Peter
295,1,3,Philemon,Philemon
296,1,2,Philip the Apostle,Philip
297,1,2,Philip the Evangelist,Philip
298,0,2,"Phinehas, son of Eleazar",Phinehas
299,0,2,"Phinehas, son of Eli",Phinehas
300,0,3,Phoebe,Phoebe
301,1,1,Pontius Pilate,Pontius Pilate
302,0,2,Potiphar,Potiphar
303,0,2,Potiphera,Potiphera
304,1,2,Priscilla,Priscilla
305,0,3,Puah,Puah
306,0,1,Rachel,Rachel
307,0,2,Rahab,Rahab
308,0,1,Rebekah,Rebekah
309,0,2,Rehoboam,Rehoboam
310,0,3,Reuben,Reuben
311,1,3,Rhoda,Rhoda
312,0,3,Rizpah,Rizpah
313,0,2,Ruth,Ruth
314,1,3,Salome,Salome
315,0,1,Samson,Samson
316,0,1,Samuel,Samuel
317,0,3,Sapphira,Sapphira
318,0,1,Sarah,Sarah
319,0,1,Saul,Saul
320,0,2,Seth,Seth
321,0,2,Shadrach,Shadrach
322,0,3,Shallum,Shallum
323,0,3,Shamgar,Shamgar
324,0,3,Sheba,Sheba
325,0,3,Shem,Shem
326,0,3,Shimeath,Shimeath
327,0,3,Shimrith,Shimrith
328,0,3,Shiprah,Shiprah
329,1,2,Silas,Silas
330,0,2,Simeon,Simeon
331,0,1,Solomon,Solomon
332,1,2,Stephen,Stephen
333,1,3,Syntyche,Syntyche
334,0,3,"Tamar, daughter-in-law of Judah",Tamar
335,0,3,"Tamar, daughter of Absalom",Tamar
336,0,2,"Tamar, daughter of King David",Tamar
337,0,3,Terah,Terah
338,1,3,Thaddaeus,Thaddaeus
339,1,3,Theophilus,Theophilus
340,1,2,Thomas,Thomas
341,1,2,Timothy,Timothy
342,1,2,Titus,Titus
343,0,3,Tola,Tola
344,0,3,Uzziah,Uzziah
345,0,3,Vashti,Vashti
346,0,3,Zebulun,Zebulun
347,0,3,Zechariah the prophet,Zechariah
348,0,3,"Zechariah, King of Israel",Zechariah
349,1,3,"Zechariah, the father of John the Baptist",Zechariah
350,0,3,Zedekiah the false prophet,Zedekiah
351,0,3,"Zedekiah, king of Judah",Zedekiah
352,0,3,Zephaniah,Zephaniah
353,0,3,Zerubbabel,Zerubbabel
354,0,3,Zeruiah,Zeruiah
355,0,3,Zilpah,Zilpah
356,0,3,"Zimri, King of Israel",Zimri
357,0,3,"Zimri, Son of Salu",Zimri
